,Pokemon,Ball,Level,Hp,Status,Prob
0,jolteon,pokeball,0,0.0,BURN,0.23945782857287112
1,jolteon,pokeball,0,0.1,BURN,0.2598845873898584
2,jolteon,pokeball,0,0.2,BURN,0.2318249714093654
3,jolteon,pokeball,0,0.2998,BURN,0.2143238211661323
4,jolteon,pokeball,0,0.4,BURN,0.20736024139305315
5,jolteon,pokeball,0,0.5,BURN,0.1837487780314672
6,jolteon,pokeball,0,0.5996,BURN,0.16404865252299725
7,jolteon,pokeball,0,0.6997,BURN,0.14650014268949707
8,jolteon,pokeball,0,0.8,BURN,0.1364905595841889
9,jolteon,pokeball,0,0.9,BURN,0.12003835546517408
10,jolteon,pokeball,0,1.0,BURN,0.08723761556746869
11,jolteon,pokeball,0,0.0,FREEZE,0.3216988753712956
12,jolteon,pokeball,0,0.1,FREEZE,0.3380003036418681
13,jolteon,pokeball,0,0.2,FREEZE,0.31501538283748853
14,jolteon,pokeball,0,0.2998,FREEZE,0.29183473838977014
15,jolteon,pokeball,0,0.4,FREEZE,0.26603801708560554
16,jolteon,pokeball,0,0.5,FREEZE,0.24990801106669666
17,jolteon,pokeball,0,0.5996,FREEZE,0.22213634050092515
18,jolteon,pokeball,0,0.6997,FREEZE,0.20398034851340535
19,jolteon,pokeball,0,0.8,FREEZE,0.1857780525612434
20,jolteon,pokeball,0,0.9,FREEZE,0.15980790530049668
21,jolteon,pokeball,0,1.0,FREEZE,0.11519646127458123
22,jolteon,pokeball,0,0.0,NONE,0.167443430926152
23,jolteon,pokeball,0,0.1,NONE,0.16840326129439295
24,jolteon,pokeball,0,0.2,NONE,0.15536849371819264
25,jolteon,pokeball,0,0.2998,NONE,0.1473006527217015
26,jolteon,pokeball,0,0.4,NONE,0.13086519643222702
27,jolteon,pokeball,0,0.5,NONE,0.1255167715026862
28,jolteon,pokeball,0,0.5996,NONE,0.11171717429473095
29,jolteon,pokeball,0,0.6997,NONE,0.09579227395118013
30,jolteon,pokeball,0,0.8,NONE,0.0906451603462316
31,jolteon,pokeball,0,0.9,NONE,0.07811113567252669
32,jolteon,pokeball,0,1.0,NONE,0.06029128523934811
33,jolteon,pokeball,0,0.0,PARALYSIS,0.25016989731874373
34,jolteon,pokeball,0,0.1,PARALYSIS,0.24395927950178495
35,jolteon,pokeball,0,0.2,PARALYSIS,0.23036243856333777
36,jolteon,pokeball,0,0.2998,PARALYSIS,0.21334022722758603
37,jolteon,pokeball,0,0.4,PARALYSIS,0.20244812909582716
38,jolteon,pokeball,0,0.5,PARALYSIS,0.18567720498581786
39,jolteon,pokeball,0,0.5996,PARALYSIS,0.16895349188805134
40,jolteon,pokeball,0,0.6997,PARALYSIS,0.1515560425196728
41,jolteon,pokeball,0,0.8,PARALYSIS,0.13648493636741268
42,jolteon,pokeball,0,0.9,PARALYSIS,0.11734119197113022
43,jolteon,pokeball,0,1.0,PARALYSIS,0.0890730603443404
44,jolteon,pokeball,0,0.0,POISON,0.24605195085665177
45,jolteon,pokeball,0,0.1,POISON,0.2501408547097124
46,jolteon,pokeball,0,0.2,POISON,0.2278864693634742
47,jolteon,pokeball,0,0.2998,POISON,0.21708096140203445
48,jolteon,pokeball,0,0.4,POISON,0.20162711237809255
49,jolteon,pokeball,0,0.5,POISON,0.18473215938600085
50,jolteon,pokeball,0,0.5996,POISON,0.1659366914520984
51,jolteon,pokeball,0,0.6997,POISON,0.15013168552992795
52,jolteon,pokeball,0,0.8,POISON,0.12986355304403482
53,jolteon,pokeball,0,0.9,POISON,0.11494159932576796
54,jolteon,pokeball,0,1.0,POISON,0.08739198398059912
55,jolteon,pokeball,0,0.0,SLEEP,0.32893096152944606
56,jolteon,pokeball,0,0.1,SLEEP,0.326637916256714
57,jolteon,pokeball,0,0.2,SLEEP,0.31160264883086314
58,jolteon,pokeball,0,0.2998,SLEEP,0.28575875767447356
59,jolteon,pokeball,0,0.4,SLEEP,0.2730933150831042
60,jolteon,pokeball,0,0.5,SLEEP,0.24489688479236088
61,jolteon,pokeball,0,0.5996,SLEEP,0.2246214099899995
62,jolteon,pokeball,0,0.6997,SLEEP,0.20313640356113824
63,jolteon,pokeball,0,0.8,SLEEP,0.18039806341173434
64,jolteon,pokeball,0,0.9,SLEEP,0.1656199140595019
65,jolteon,pokeball,0,1.0,SLEEP,0.11978336812021315
66,jolteon,pokeball,5,0.0,BURN,0.24418828417585114
67,jolteon,pokeball,5,0.1,BURN,0.24758758692775457
68,jolteon,pokeball,5,0.2,BURN,0.23001888351564076
69,jolteon,pokeball,5,0.2998,BURN,0.21926769574469726
70,jolteon,pokeball,5,0.4,BURN,0.20321815646816274
71,jolteon,pokeball,5,0.5,BURN,0.1810561686005025
72,jolteon,pokeball,5,0.5996,BURN,0.16958944635596632
73,jolteon,pokeball,5,0.6997,BURN,0.13412868360604435
74,jolteon,pokeball,5,0.8,BURN,0.13594036648293317
75,jolteon,pokeball,5,0.9,BURN,0.10984434903697868
76,jolteon,pokeball,5,1.0,BURN,0.08869720667495058
77,jolteon,pokeball,5,0.0,FREEZE,0.3400956928127801
78,jolteon,pokeball,5,0.1,FREEZE,0.32420448828263754
79,jolteon,pokeball,5,0.2,FREEZE,0.31632409218470386
80,jolteon,pokeball,5,0.2998,FREEZE,0.28832253562149446
81,jolteon,pokeball,5,0.4,FREEZE,0.2645441447848393
82,jolteon,pokeball,5,0.5,FREEZE,0.24039008028575604
83,jolteon,pokeball,5,0.5996,FREEZE,0.22047766264401383
84,jolteon,pokeball,5,0.6997,FREEZE,0.19441873534756
85,jolteon,pokeball,5,0.8,FREEZE,0.17086670011305233
86,jolteon,pokeball,5,0.9,FREEZE,0.14687618939927397
87,jolteon,pokeball,5,1.0,FREEZE,0.119805577071516
88,jolteon,pokeball,5,0.0,NONE,0.16481939932255518
89,jolteon,pokeball,5,0.1,NONE,0.17018897217409631
90,jolteon,pokeball,5,0.2,NONE,0.15680159763326573
91,jolteon,pokeball,5,0.2998,NONE,0.14655576435518144
92,jolteon,pokeball,5,0.4,NONE,0.13444029637603153
93,jolteon,pokeball,5,0.5,NONE,0.11567875742228109
94,jolteon,pokeball,5,0.5996,NONE,0.10859436934729759
